collectionName,dc.contributor.advisor,dc.contributor.author,dc.contributor.committeeMember,dc.contributor.editor,dc.contributor.illustrator,dc.contributor.other,dc.coverage.spatial,dc.creator,dc.creator.orcid,dc.date,dc.date.accessioned,dc.date.available,dc.date.copyright,dc.date.created,dc.date.issued,dc.date.submitted,dc.date.updated,dc.description,dc.description.abstract,dc.description.disclaimer,dc.description.provenance,dc.description.sponsorship,dc.description.uri,dc.format.extent,dc.format.medium,dc.format.mimetype,dc.identifier,dc.identifier.citation,dc.identifier.govdoc,dc.identifier.isbn,dc.identifier.ismn,dc.identifier.issn,dc.identifier.localbarcode,dc.identifier.localbibnumber,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.publisher.country,dc.relation,dc.relation.isformatof,dc.relation.ispartof,dc.relation.ispartofseries,dc.source,dc.source.uri,dc.subject,dc.subject.classification,dc.subject.ddc,dc.subject.lcsh,dc.subject.mesh,dc.subject.other,dc.title,dc.title.alternative,dc.type,dc.type.material,jhuthesis.advisor.externalmember,jhuthesis.advisor.primary,jhuthesis.advisor.secondary,jhuthesis.college.degreegranting,jhuthesis.date.defense,jhuthesis.date.submitted,jhuthesis.department.degreegranting,jhuthesis.department.primaryadvisor,local.embargo.lift,local.embargo.terms,thesis.degree.department,thesis.degree.discipline,thesis.degree.grantor,thesis.degree.level,thesis.degree.name
Maps and Atlases - GIS Data,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:20,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:16,dc.date.available:16,dc.date.copyright:0,dc.date.created:0,dc.date.issued:16,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:2,dc.description.disclaimer:0,dc.description.provenance:48,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:16,dc.identifier:0,dc.language.iso:9,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:28,dc.title.alternative:2,dc.title:16,dc.type.material:0,dc.type:29,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Maps and Atlases - GIS Data--JHU only,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:0,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:0,dc.date.available:0,dc.date.copyright:0,dc.date.created:0,dc.date.issued:0,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:0,dc.description.disclaimer:0,dc.description.provenance:0,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:0,dc.identifier:0,dc.language.iso:0,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:0,dc.title.alternative:0,dc.title:0,dc.type.material:0,dc.type:0,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Maps and Atlases - Maryland Historical Shorelines Map Series,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:165,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:167,dc.date.available:167,dc.date.copyright:0,dc.date.created:0,dc.date.issued:167,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:167,dc.description.disclaimer:0,dc.description.provenance:503,dc.description.sponsorship:1,dc.description.uri:0,dc.description:166,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:167,dc.identifier:0,dc.language.iso:165,dc.publisher.country:0,dc.publisher:167,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:566,dc.title.alternative:0,dc.title:167,dc.type.material:0,dc.type:334,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Maps and Atlases - Maryland Historical Topographic Maps (Scales 1:62,500; 1:31,680; 1:125,000)",collectionName:0,dc.contributor.advisor:1,dc.contributor.author:113,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:130,dc.date.available:130,dc.date.copyright:0,dc.date.created:0,dc.date.issued:130,dc.date.submitted:0,dc.date.updated:0,dc.date:1,dc.description.abstract:60,dc.description.disclaimer:0,dc.description.provenance:395,dc.description.sponsorship:0,dc.description.uri:0,dc.description:170,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:1,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:4,dc.identifier.other:71,dc.identifier.uri:130,dc.identifier:0,dc.language.iso:129,dc.publisher.country:0,dc.publisher:18,dc.relation.isformatof:121,dc.relation.ispartof:0,dc.relation.ispartofseries:3,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:145,dc.title.alternative:0,dc.title:130,dc.type.material:0,dc.type:135,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Maps and Atlases - Maryland Orthophoto Quadrangle Map Series,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:111,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:111,dc.date.available:111,dc.date.copyright:0,dc.date.created:0,dc.date.issued:111,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:111,dc.description.disclaimer:0,dc.description.provenance:343,dc.description.sponsorship:0,dc.description.uri:0,dc.description:111,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:111,dc.identifier:0,dc.language.iso:111,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:458,dc.title.alternative:0,dc.title:111,dc.type.material:0,dc.type:222,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Maps and Atlases - Maryland State, County  and Baltimore City Atlases",collectionName:0,dc.contributor.advisor:14,dc.contributor.author:63,dc.contributor.committeeMember:0,dc.contributor.editor:4,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:56,dc.date.available:56,dc.date.copyright:0,dc.date.created:0,dc.date.issued:56,dc.date.submitted:0,dc.date.updated:0,dc.date:1,dc.description.abstract:29,dc.description.disclaimer:0,dc.description.provenance:209,dc.description.sponsorship:0,dc.description.uri:0,dc.description:28,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:28,dc.identifier.other:13,dc.identifier.uri:56,dc.identifier:0,dc.language.iso:52,dc.publisher.country:0,dc.publisher:55,dc.relation.isformatof:21,dc.relation.ispartof:0,dc.relation.ispartofseries:1,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:137,dc.title.alternative:0,dc.title:56,dc.type.material:0,dc.type:92,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Maps and Atlases - Maryland State Sheet Maps & State Map Series,collectionName:0,dc.contributor.advisor:1,dc.contributor.author:374,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:470,dc.date.available:470,dc.date.copyright:0,dc.date.created:0,dc.date.issued:470,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:185,dc.description.disclaimer:0,dc.description.provenance:1463,dc.description.sponsorship:0,dc.description.uri:1,dc.description:365,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:2,dc.identifier.govdoc:1,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:2,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:120,dc.identifier.other:127,dc.identifier.uri:470,dc.identifier:0,dc.language.iso:470,dc.publisher.country:0,dc.publisher:465,dc.relation.isformatof:225,dc.relation.ispartof:0,dc.relation.ispartofseries:66,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:4,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:1200,dc.title.alternative:0,dc.title:470,dc.type.material:0,dc.type:913,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Maps and Atlases - Other Maryland County Sheet Maps,collectionName:0,dc.contributor.advisor:2,dc.contributor.author:175,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:198,dc.date.available:198,dc.date.copyright:0,dc.date.created:0,dc.date.issued:198,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:116,dc.description.disclaimer:0,dc.description.provenance:595,dc.description.sponsorship:0,dc.description.uri:0,dc.description:45,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:1,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:7,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:154,dc.identifier.other:151,dc.identifier.uri:198,dc.identifier:0,dc.language.iso:198,dc.publisher.country:0,dc.publisher:198,dc.relation.isformatof:40,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:362,dc.title.alternative:0,dc.title:198,dc.type.material:0,dc.type:383,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Museum Studies - Faculty Research,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:1,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:1,dc.date.available:1,dc.date.copyright:0,dc.date.created:0,dc.date.issued:1,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:1,dc.description.disclaimer:0,dc.description.provenance:3,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:1,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:1,dc.identifier:0,dc.language.iso:0,dc.publisher.country:0,dc.publisher:1,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:9,dc.title.alternative:0,dc.title:1,dc.type.material:0,dc.type:1,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Nobel Prize Winners - Carol Greider,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:127,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:31,dc.date.available:31,dc.date.copyright:0,dc.date.created:0,dc.date.issued:31,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:28,dc.description.disclaimer:0,dc.description.provenance:62,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:31,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:31,dc.identifier:0,dc.language.iso:31,dc.publisher.country:0,dc.publisher:30,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:134,dc.title.alternative:0,dc.title:31,dc.type.material:0,dc.type:31,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Nobel Prize Winners - Peter Agre,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:610,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:116,dc.date.available:116,dc.date.copyright:0,dc.date.created:0,dc.date.issued:116,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:102,dc.description.disclaimer:0,dc.description.provenance:348,dc.description.sponsorship:0,dc.description.uri:0,dc.description:2,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:115,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:116,dc.identifier:0,dc.language.iso:116,dc.publisher.country:0,dc.publisher:116,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:2,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:443,dc.title.alternative:3,dc.title:116,dc.type.material:0,dc.type:116,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Physics & Astronomy, Dept. of - Condensed Matter Physics",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:364,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:58,dc.date.available:58,dc.date.copyright:0,dc.date.created:0,dc.date.issued:58,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:58,dc.description.disclaimer:0,dc.description.provenance:188,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:58,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:1,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:58,dc.identifier:0,dc.language.iso:58,dc.publisher.country:0,dc.publisher:58,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:854,dc.title.alternative:0,dc.title:58,dc.type.material:0,dc.type:58,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Policy Studies, Institute for - International Urban Fellows Papers",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:135,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:138,dc.date.available:138,dc.date.copyright:0,dc.date.created:0,dc.date.issued:138,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:14,dc.description.disclaimer:130,dc.description.provenance:416,dc.description.sponsorship:0,dc.description.uri:0,dc.description:12,dc.format.extent:2,dc.format.medium:0,dc.format.mimetype:2,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:138,dc.identifier:0,dc.language.iso:137,dc.publisher.country:0,dc.publisher:135,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:5,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:387,dc.title.alternative:0,dc.title:138,dc.type.material:0,dc.type:137,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Political Science, Dept. of - Faculty Research",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:3,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:3,dc.date.available:3,dc.date.copyright:0,dc.date.created:0,dc.date.issued:3,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:1,dc.description.disclaimer:0,dc.description.provenance:6,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:3,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:3,dc.identifier:0,dc.language.iso:3,dc.publisher.country:0,dc.publisher:3,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:11,dc.title.alternative:0,dc.title:3,dc.type.material:0,dc.type:3,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Population Center, Hopkins - Hopkins Population Center Working Paper Archive",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:103,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:49,dc.date.available:49,dc.date.copyright:0,dc.date.created:0,dc.date.issued:49,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:23,dc.description.disclaimer:0,dc.description.provenance:147,dc.description.sponsorship:7,dc.description.uri:0,dc.description:0,dc.format.extent:49,dc.format.medium:0,dc.format.mimetype:49,dc.identifier.citation:3,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:49,dc.identifier:0,dc.language.iso:49,dc.publisher.country:0,dc.publisher:48,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:96,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:136,dc.title.alternative:0,dc.title:49,dc.type.material:0,dc.type:49,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
